title,original_title,artist,guest_artists,circle,price,franchise,url
Cotton8.5,,せんちゃ,,sencyairo,¥550,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=799717
Cotton9,,せんちゃ,,sencyairo,"¥1,572",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1174423
Tee Tee!,,猫村,,Sleeper,"¥1,572",Nijisanji,https://www.melonbooks.co.jp/detail/detail.php?product_id=907928
Summer clothes and sweets 2,夏服とスイーツ2,森倉円,"Hiten, パセリ, 望月けい",SYNTHESiS DESiGN,"¥1,815",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=531546
Summer clothes and sweets 3,夏服とスイーツ3,森倉円,"モ誰, パセリ, 望月けい",SYNTHESiS DESiGN,"¥1,815",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=906897
Summer clothes and sweets 4,なつふくとスイーツ4,森倉円,"森倉円, さいね, 栗原さくら, 綾野優, 甘木くるみ, 黒菌, 田中 寛崇, 92M, もちつきうさ, アシタ, chiri, 智弘カイ, 緑川葉, U35, ERIMO, 富士フジノ, fumi, 吟, 左折, あかね, 源, れつな, wogura, ミツナリ(敬称略)",SYNTHESiS DESiGN,"¥1,815",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=1569828
FALLING DOWN,,The Vision of DemonLord,,The Vision of DemonLord,"¥1,572",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=1184125
LIV4LUV,,加川壱互,"およ, 西沢5㍉, 緜",いちご園,"¥2,291",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1571407
By the window.,,海島千本,,うなぎのおみせ,"¥1,500",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1091694
オコメチルドレン※1.5,,いけ,"おしぼり, とうや, アサゲン, toco",オコメチルドレン,¥732,Original,https://alice-books.com/item/show/4928-2
Holos Garden2,,かかげ,,おもちやさん,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=749146
HOLOSGARDEN3,,かかげ,,おもちやさん,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1177159
HOLOSGARDEN4,,かかげ,,おもちやさん,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1590460
Rose Garden3,,かかげ,,おもちやさん,"¥1,572",Granblue Fantasy,https://www.melonbooks.co.jp/detail/detail.php?product_id=537675
Diary,,工藤える,,くぼうえる,"¥1,100",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=1788080
NOSTALGIA vol.002,,加藤オズワルド,,サイレント,¥660,Original,https://alice-books.com/item/show/9039-7
SUNSHINE COLOR'S2,,さけハラス,,さけハラス,"¥1,210",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=583983
SAKE BEST,,さけハラス,,さけハラス,"¥1,760",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=828015
"Aikatsu! Plain clothes joint magazine 2nd edition ""PARADE""",アイカツ!私服合同誌 第二弾「PARADE」,ウミノモクズ,"秋空さわやか, AS4KLA, いのちすこやか, ウミノモクズ 河馬子, KAYO, くもすずめ, ごぼう, koyubi, シソ, so品chiri, 問七, nghr, 七神マナ, nueco, 橋口隼人, ぼっくん",しずみ荘,"¥3,143",Aikatsu,https://www.melonbooks.co.jp/detail/detail.php?product_id=903031
SUPREZZATURA,,凡竜,,スーパーブルー,¥908,Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=1655826
Super Blue 2020 Summer,,凡竜,,スーパーブルー,"¥1,100",Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=718088
Super Blue 2020 Autumn,,凡竜,,スーパーブルー,"¥1,100",Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=743043
Super Blue 2021 K.O.,,凡竜,,スーパーブルー,¥715,Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=1149693
Super Blue 2021 Spring,,凡竜,,スーパーブルー,"¥1,210",Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=903182
またたび,,らんふ,,すくらんfullえっぐ,¥770,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1170728
近視の姉,,92M,,ダイコテツ団,¥785,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1165278
Your face is too genius III,顔が天才過ぎますIII,ぱいしぇん,,チームタテガミ,¥785,Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=1080730
SHE,,米山舞,,ツナまよねーずごはん,"¥1,980",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=603497
THE ONE,,米山舞,,ツナまよねーずごはん,"¥1,650",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=608029
esc.#0,,米山舞,,ツナまよねーずごはん,"¥1,650",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=608034
FUN,,米山舞,"作品ekao, tarou2, セブンゼル, PALOW., BUNBUN, NAJI柳田, タイキ, 一才",ツナまよねーずごはん,"¥2,310",Various,https://www.melonbooks.co.jp/detail/detail.php?product_id=1591568
"""Our daily life. 2""",「わたしたちの日常。2」,じょろり,,どっつ＆らいんず,¥785,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=645832
Miscellaneous Graffiti Book,ごちゃまぜよろず落書き本,にゅむ,,にゅむproduction,¥550,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=811000
CYA spece,,pako,,ハイパーソニックソウル,"¥1,980",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1589941
drifting,漂流,はむねずこ,,はむねずこ,"¥1,300",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1180735
Even though I don't know anything,何も知らないくせに,はむねずこ,,はむねずこ,¥600,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1180736
Farewell melancholy,さらば、メランコリー,はむねずこ,,はむねずこ,"¥1,379",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1596338
Doodle holo summary,らくがきホロまとめ,肋兵器,,ほしとマタンゴ,¥990,Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=693524
HoloMatome,,肋兵器,,ほしとマタンゴ,"¥1,980",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1173348
HoloMatome2,,肋兵器,,ほしとマタンゴ,"¥1,540",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1788256
ほろのなつのほん,,肋兵器,,ほしとマタンゴ,¥770,Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1588244
abr Rakugaki Matome,,肋兵器,,ほしとマタンゴ,"¥2,750",Princess Connect,https://www.melonbooks.co.jp/detail/detail.php?product_id=1734281
だいたいセーラーふく,,もりちか,,まるたぁ小屋,¥715,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=608944
Daily life of a girl and a dog,女の子と犬の日常,もりちか,,まるたぁ小屋,¥770,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=997661
Daily life of a girl and a dog 2,女の子と犬の日常2,もりちか,,まるたぁ小屋,"¥1,415",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1174476
Daily life of a girl and a dog 3,女の子と犬の日常3,もりちか,,まるたぁ小屋,¥770,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1465958
Daily life of a girl and a dog 4,女の子と犬の日常4,もりちか,,まるたぁ小屋,¥770,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1744712
uniform sometimes dog,制服ときどき犬,もりちか,,まるたぁ小屋,¥770,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1590661
What are you doing now? Mizusu's work collection,いまどうしてる? みずす作品集,みずす,,みずす,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=699045
WHITE BULLET,,トマリ,,ミルクランプ,"¥2,357",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1575236
100DAY CHALLENGE GALLERY,,モ誰,,もじさん,"¥2,200",Various,https://www.melonbooks.co.jp/detail/detail.php?product_id=1169261
100DAY CHALLENGE SECOND GALLERY,,モ誰,,もじさん,"¥2,200",Various,https://www.melonbooks.co.jp/detail/detail.php?product_id=1575752
LiPPS gravure vol.2,LiPPSグラビアvol.2,モ誰,,もじさん,"¥1,257",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=596413
Ganbare Douki-chan 1,がんばれ同期ちゃん 1,よむ,,よむ書店,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=647309
Ganbare Douki-chan 2,がんばれ同期ちゃん 2,よむ,,よむ書店,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=692623
Ganbare Douki-chan 3,がんばれ同期ちゃん 3,よむ,,よむ書店,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=757944
Ganbare Douki-chan 4,がんばれ同期ちゃん 4,よむ,,よむ書店,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=884482
Ganbare Douki-chan 5,がんばれ同期ちゃん 5,よむ,,よむ書店,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1040005
Ganbare Douki-chan 6,がんばれ同期ちゃん 6,よむ,,よむ書店,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1152072
ILLUMINATE DREAM,,GUCHICO,蜜咲姫朱,ラインメロン,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=747864
HOLO+MIX,,GUCHICO,,ラインメロン,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1165537
HOLO+MIX2,,GUCHICO,,ラインメロン,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1560345
NZMZ illustration summary 2,NZMZイラストまとめ2,れぇ,,れれBOX,"¥1,572",Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=595832
NZMZ illustration summary 3,NZMZイラストまとめ3,れぇ,,れれBOX,"¥1,540",Sound! Euphonium,https://www.melonbooks.co.jp/detail/detail.php?product_id=595832
real,,ろ樹,,ロキ調停会,¥791,Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=539426
it was summer,夏でした,みなはむ,,ンキッャヒ,"¥1,320",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=738035
daily achievements6&7,,hncl,,一期一会,"¥3,300",Various,https://www.melonbooks.co.jp/detail/detail.php?product_id=1699596
daily achievements5,,hncl,,一期一会,"¥1,650",Various,https://www.melonbooks.co.jp/detail/detail.php?product_id=913491
MIWANO RAG 2020,,美和野らぐ,,三食納豆飯,"¥1,375",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=753682
Fishman,,HJL,,台湾修羅場,"¥3,144",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=576831
TAIWAN OFFICE LADY 1,,天之火,,台湾修羅場,"¥1,612",Original,https://alice-books.com/item/show/8084-12
箱庭之声,,風味馬吉,,台湾修羅場,"¥1,466",Original,https://alice-books.com/item/show/8084-11
RKGK HOLOLIVE FAN ART BOOK,,泉彩,,大陸間弾道少女,"¥1,572",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1175026
TennenSuidousui20,,パセリ,,天然水道水,¥660,Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1186390
FEMME FATALE,,MAIRO,,彩蝶の箱庭,¥770,Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=611496
Two-sided,,木なこ,,木なこもち,¥880,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1573142
Holo Style vol.1,,おいなりせんせー,,本日のいなり,¥550,Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1604556
Holo Style vol.2,,おいなりせんせー,,本日のいなり,¥550,Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1794750
BAKATARE CIRCUS,,おいなりせんせー,,本日のいなり,"¥1,000",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1464778
Omega,,裕,,東のペンギン,"¥2,357",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1172742
ticket,,またよし,,株式会社 1月と7月,"¥2,970",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=758611
Beware of Falling Apples #01,,Se_eeeee,,正経同人,¥849,Haikyuu,https://www.melonbooks.co.jp/detail/detail.php?product_id=1543959
Beware of Falling Apples #05,,Se_eeeee,,正経同人,¥849,Haikyuu,https://www.melonbooks.co.jp/detail/detail.php?product_id=1543960
Hydrosphere,,zinbei,,瀝青の海,"¥1,980",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1459073
travail de chateau,,saitom,,猫マル商店,"¥1,150",Original,https://nekomarusyouten.booth.pm/items/2681233
travail de chateau2,,saitom,,猫マル商店,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1156630
Zimakupiza,,saitom,,猫マル商店,¥550,Original,https://nekomarusyouten.booth.pm/items/3413038
zimakupiza F,,saitom,,猫マル商店,¥550,Fate,https://nekomarusyouten.booth.pm/items/3413008
zimakupiza F2,,saitom,,猫マル商店,¥550,Fate,https://nekomarusyouten.booth.pm/items/3412887
